id,Country,village_name,Y_deg,X_deg,Pop,elec_rate,demand_kwh,dist_to_grid,SubstationDist,RoadDist,GHI,GridCellArea,Elevation
6557,Benin,Wédémé,8.084447,2.136396,198,0.3888888888888889,6256.83,15.555942501052694,32.209229333537145,12.087414,1811,39267.381,186.0
12073,Benin,Sekere,10.439602,2.480297,44,0.38636363636363635,1346.4850000000001,28.582360205414098,16.311198186198588,3.151804,2032,34772.636,349.0
3615,Benin,Location #5651,6.963222,1.756369,168,0.3869047619047619,5944.754999999999,2.018019591336569,8.699189862604138,4.274382,1766,26621.56,161.0
17183,Benin,Location #12043,9.955966,1.744754,62,0.3870967741935484,1900.92,23.564441346321846,32.425331676593714,6.157318,2000,8944.948,398.0
6862,Benin,Ouèssè,8.475626,2.457995,626,0.38817891373801916,27666.635000000002,14.216390187150079,3.0099830975775044,7.417553,1803,219954.409,214.0
7412,Benin,Location #7781,9.12378,1.676862,111,0.38738738738738737,3405.8149999999996,36.895845602418426,59.88548496588669,5.9583,1929,58199.469,394.0
10002,Benin,Djakotomey,6.888942,1.729459,232,0.3879310344827586,7918.675,4.255130683149696,7.9403215533990545,4.800654,1766,30493.774,122.0
7050,Benin,Biguina 3,8.743164,1.675463,126,0.3888888888888889,3881.0449999999996,78.16574050552988,87.71290951440406,3.211847,1894,103976.871,325.0
6714,Benin,Baako,8.241041,2.692394,3054,0.3880157170923379,174991.22,6.067053647400347,38.437855329993475,3.709021,1752,667983.561,227.0
8158,Benin,Tchaourou,9.475228,2.496604,67,0.3880597014925373,2059.33,12.9881171369828,16.761392140579293,14.018463,1910,32029.381,334.0
4734,Benin,Aplahoué,7.327452,1.668402,62,0.3870967741935484,1900.92,10.056166130955036,34.50063233274909,1.135002,1796,9780.099,167.0
14643,Benin,Location #16444,11.041722,2.298644,34,0.38235294117647056,1029.665,32.061921209045934,30.993997020496163,8.13092,2055,16828.339,292.0
10295,Benin,Location #14665,10.008047,1.342163,46,0.391304347826087,1425.69,14.822061506838375,21.752246188901616,3.169232,1991,39813.084,0.0
2520,Benin,Ita-Djebou,6.881269,2.658104,840,0.3880952380952381,40649.32,4.413904683282448,15.549939093913746,3.928036,1692,261368.899,70.0
4631,Benin,Village de Detekpa Adjinangon,7.279138,2.208928,54,0.3888888888888889,1663.305,9.642417875076674,18.76545263270396,8.365538,1760,10578.434,101.0
1326,Benin,Dédomè,6.54615,2.030577,82,0.3902439024390244,2692.605,10.810749855913087,13.076512769294126,2.839307,1752,13505.933,59.0
2998,Benin,Bopa,6.832639,2.005848,103,0.3883495145631068,3168.2,12.224551740456212,18.97245480726131,3.319441,1725,9800.676,43.0
9515,Benin,Ouenou,9.891097,3.443023,80,0.3875,2613.4,57.27263315454539,26.219896666429996,10.765148,1980,35109.333,382.0
14978,Benin,Sinawongourou,11.138311,2.743484,41,0.3902439024390244,1267.28,5.723142988850286,20.099487220887788,0.927419,2059,35470.971,259.0
1540,Benin,Tchaada,6.607609,2.709811,131,0.3893129770992366,5461.860000000001,11.754591964283913,11.21196342889578,1.375613,1687,24701.242,48.0
9242,Benin,DÉMA - GOUDÉMA,9.733814,3.188422,461,0.3882863340563991,16566.984999999997,29.583388225232767,21.4127608903937,4.558379,1962,102512.833,459.0
12117,Benin,Location #5502,10.429683,1.141802,173,0.3872832369942196,5306.735,19.03822491670131,35.82719785035022,1.121642,1988,108356.937,231.0
8624,Benin,Location #15539,9.613091,1.971421,41,0.3902439024390244,1747.6200000000001,11.187461618948872,35.890878955131754,1.758331,1968,20523.429,369.0
6719,Benin,Location #1640,8.239724,1.970874,735,0.3877551020408163,24646.625000000004,40.53154811939931,53.986491431585726,0.0,1826,133365.703,226.0
6690,Benin,Ouèssè,8.153703,2.495939,64,0.390625,1980.125,5.02424238722453,36.95088013400381,7.068211,1769,36504.797,185.0
14142,Benin,Location #13479,10.869963,1.031301,54,0.3888888888888889,1663.305,4.569750436077207,81.89879405523602,6.009295,2033,33502.69,193.0
