id;X_deg;Y_deg;Pop2040;Households;Tier;TotalEnergyPerCell;FinalElecCode2040;MinimumOverallLCOE2040;Least_Cost_Option
11555;1.3082;10.2583;60.6725;10.4000;4;9743.9985;3.0000;0.4235;Solar Home System (SHS)
5441;2.1407;7.5136;89.8419;15.4000;4;14428.6131;3.0000;0.4812;Solar Home System (SHS)
10321;3.3336;10.0044;105.0100;18.0000;4;16864.6127;3.0000;0.4263;Solar Home System (SHS)
13952;2.4196;10.8118;120.1782;20.6000;4;19300.6123;3.0000;0.4164;Solar Home System (SHS)
15633;2.4062;11.2488;36.1701;6.2000;4;5808.9222;3.0000;0.4088;Solar Home System (SHS)
8963;2.7451;9.6837;74.6738;12.8000;4;11992.6135;3.0000;0.4379;Solar Home System (SHS)
3648;1.8100;6.9567;141.1802;24.2000;4;22673.5349;3.0000;0.4798;Solar Home System (SHS)
6330;1.6747;7.8308;165.6825;28.4000;4;26608.6112;3.0000;0.4593;Solar Home System (SHS)
9345;2.6777;9.8343;138.8466;23.8000;4;22298.7657;3.0000;0.4326;Solar Home System (SHS)
10954;1.1195;10.1889;228.6885;39.2000;4;36727.3788;3.0000;0.4293;Solar Home System (SHS)
728;2.0319;6.5135;87.5084;15.0000;4;14053.8439;3.0000;0.4839;Solar Home System (SHS)
5823;2.3669;7.6641;186.6845;32.0000;4;29981.5337;3.0000;0.4822;Solar Home System (SHS)
7999;2.7074;9.3049;68.8399;11.8000;4;11055.6906;3.0000;0.4483;Solar Home System (SHS)
12109;1.3825;10.4310;72.3403;12.4000;4;11617.8443;3.0000;0.4220;Solar Home System (SHS)
6908;2.4894;7.9832;120.1782;20.6000;4;19300.6123;3.0000;0.4803;Solar Home System (SHS)
13040;3.6922;10.5261;379.2029;65.0000;4;60899.9904;3.0000;0.4181;Solar Home System (SHS)
11559;2.8772;10.2608;68.8399;11.8000;4;11055.6906;3.0000;0.4216;Solar Home System (SHS)
12250;2.8281;10.3663;66.5064;11.4000;4;10680.9214;3.0000;0.4208;Solar Home System (SHS)
3962;1.9355;7.0780;196.0187;33.6000;4;31480.6104;1.0000;0.0100;Grid Extension
12575;1.1133;10.3142;57.1721;9.8000;4;9181.8447;3.0000;0.4276;Solar Home System (SHS)
4478;1.9036;7.1315;261.3583;44.8000;4;41974.1472;3.0000;0.4861;Solar Home System (SHS)
13061;1.0967;10.5424;95.6758;16.4000;4;15365.5360;3.0000;0.4237;Solar Home System (SHS)
4950;2.6062;7.2365;261.3583;44.8000;4;41974.1472;3.0000;0.4938;Solar Home System (SHS)
1218;1.9042;6.5698;264.8587;45.4000;4;42536.3010;3.0000;0.4932;Solar Home System (SHS)
11154;2.3985;10.1813;93.3423;16.0000;4;14990.7669;3.0000;0.4212;Solar Home System (SHS)
16990;3.3346;11.6442;60.6725;10.4000;4;9743.9985;3.0000;0.4092;Solar Home System (SHS)
1210;2.0014;6.5711;14115.6832;2419.6000;4;2266978.7178;1.0000;0.1000;Grid Extension
5597;2.3722;7.5835;165.6825;28.4000;4;26608.6112;3.0000;0.4836;Solar Home System (SHS)
5992;2.1608;7.5503;102.6765;17.6000;4;16489.8435;3.0000;0.4803;Solar Home System (SHS)
1219;2.0362;6.5693;333.6986;57.2000;4;53591.9915;5.0000;0.3098;Mini-grid
15731;2.6600;11.2936;152.8479;26.2000;4;24547.3807;3.0000;0.4108;Solar Home System (SHS)
14910;2.1072;11.0869;45.5044;7.8000;4;7307.9988;3.0000;0.4138;Solar Home System (SHS)
