X_deg;Y_deg;Pop;GridCellArea;Country;ElecPop;WindVel;GHI;TravelHours;Elevation;ResidentialDemandTierCustom;Slope;NightLights;LandCover;SubstationDist;TransformerDist;CurrentHVLineDist;PlannedHVLineDist;CurrentMVLineDist;PlannedMVLineDist;RoadDist;HydropowerDist;Hydropower;HydropowerFID;IsUrban;PerCapitaDemand;HealthDemand;EducationDemand;AgriDemand;ElectrificationOrder;CommercialDemand;ResidentialDemandTier1;ResidentialDemandTier2;ResidentialDemandTier3;ResidentialDemandTier4;ResidentialDemandTier5;id;Households
1.4891;10.3832;49;0.0205;Benin;0.0000;0.0000;2021;0.7288;563.0000;38.7000;1.0948;0.0000;12;19.9561;9999;19.9393;14.7707;19.9393;14.7707;5.5399;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;11943;9.8000
1.9861;7.0950;544;0.1207;Benin;0.0000;0.0000;1758;0.1240;155.0000;38.7000;0.4509;0.0000;12;10.8624;9999;11.0682;2.1697;11.0682;2.1697;0.0000;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;6122;108.8000
1.8031;6.4460;75;0.0126;Benin;75.0000;0.0000;1737;0.0154;8.0000;38.7000;0.0978;100.0000;14;10.2420;9999;15.4539;15.4924;15.4539;15.4924;0.0000;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;342;15.0000
1.3613;9.9216;170;0.0817;Benin;0.0000;0.0000;1989;0.6450;395.0000;38.7000;-9999.0000;0.0000;10;30.5887;9999;17.0562;33.9952;17.0562;33.9952;2.6432;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;9588;34.0000
2.0180;6.7292;82;0.0073;Benin;0.0000;0.0000;1713;0.7992;6.0000;38.7000;0.1317;0.0000;14;7.4524;9999;2.8268;2.5095;2.8268;2.5095;4.2454;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;3293;16.4000
1.1432;10.5019;77;0.0481;Benin;0.0000;0.0000;1995;0.7360;233.0000;38.7000;0.6212;0.0000;12;41.2548;9999;41.2934;16.3493;41.2934;16.3493;2.7293;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;13107;15.4000
2.9311;10.9981;31;0.0063;Benin;0.0000;0.0000;2052;0.7368;292.0000;38.7000;0.6966;0.0000;12;13.8099;9999;93.0388;4.3369;93.0388;4.3369;5.6606;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;14536;6.2000
1.7742;7.3704;134;0.0323;Benin;0.0000;0.0000;1790;0.8884;144.0000;38.7000;0.4045;0.0000;14;36.0751;9999;15.8169;35.0299;15.8169;35.0299;6.1925;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;5081;26.8000
1.3618;9.5945;49;0.0163;Benin;0.0000;0.0000;1982;0.2108;382.0000;38.7000;-9999.0000;0.0000;12;30.7778;9999;9.8118;9.8305;9.8118;9.8305;3.0566;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;8570;9.8000
2.2800;7.2665;52;0.0178;Benin;0.0000;0.0000;1751;0.3964;31.0000;38.7000;0.3790;0.0000;12;24.8461;9999;5.0302;28.6120;5.0302;28.6120;6.6785;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;4776;10.4000
2.6031;7.0303;70;0.0064;Benin;0.0000;0.0000;1708;0.1507;48.0000;38.7000;0.2101;0.0000;14;8.7543;9999;5.5381;32.5764;5.5381;32.5764;4.7165;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;4049;14.0000
